name;id;results;time;error;timestamps
interactive-discover-1-0;0;6;12704;false;2882 4778 4819 5489 6132 6586
interactive-discover-1-1;0;4;792;false;333 338 361 367
interactive-discover-1-2;0;1;411;false;410
interactive-discover-1-3;0;14;9478;false;3145 3177 3228 3307 3318 4977 4991 5017 5025 5062 5074 5099 5100 5115
interactive-discover-1-4;0;8;8671;false;3193 3546 3566 3577 3607 3649 4372 5206
interactive-discover-2-0;0;66;14420;false;3102 3289 4174 7194 7701 8673 9849 10451 10499 10541 10561 10580 10612 10652 10701 10722 10725 10742 10763 10811 10832 10833 10841 10857 10888 10888 10909 10910 10913 10913 10915 10915 10916 10916 10918 10919 10922 10923 10923 10923 10925 10926 10926 10927 10927 10928 10928 10928 10928 10928 10929 10929 10929 10929 10930 10930 10930 10930 10930 10931 10931 10931 10931 10931 10931 10931
interactive-discover-2-1;0;46;877;false;852 852 853 854 856 857 858 859 859 861 861 862 864 864 864 865 866 866 867 868 868 869 869 870 870 871 871 871 872 872 873 873 873 873 874 874 874 874 874 874 875 875 875 876 876 876
interactive-discover-2-2;0;32;414;false;394 400 401 401 402 403 403 404 404 404 405 406 406 406 407 407 408 408 409 409 409 410 410 410 410 410 413 413 413 413 413 413
interactive-discover-2-3;0;198;12515;false;3082 3119 3148 4895 4954 5014 5071 5123 5123 5174 5223 5283 5308 5331 4106 4141 4178 4188 4237 4313 4327 4364 4379 4419 4431 4501 4522 4537 4551 4569 4593 4617 4629 4640 4646 4666 4690 4690 4705 4715 4725 4725 4734 4744 4748 4750 4757 4761 4766 4767 4771 4776 4789 4793 4808 4815 5930 5934 5973 7481 7570 7629 7698 7897 7959 7993 8100 8127 8228 8246 8299 8325 8374 8666 8744 8788 8892 8892 8950 8975 9805 9823 9868 9881 9924 9936 9957 9972 9986 10161 10181 10181 10261 10263 10283 10284 10330 10331 10338 10338 10348 10352 10356 10358 10361 10362 10366 10368 10373 10373 10377 10378 10380 10381 10383 10384 10386 10388 10390 10390 10394 10395 10397 10397 10400 10400 10402 10403 10403 10405 10409 10409 10411 10411 10413 10413 10414 10414 10416 10416 10417 10417 10418 10418 10419 10419 10420 10420 10420 10421 10421 10421 10421 10421 10421 10421 10421 10421 10421 10421 10421 10421 10422 10422 10422 10422 10422 10422 10422 10422 10422 10422 10422 10422 10422 10422 10422 10422 10422 10422 10422 10422 10422 10422 10422 10422 10422 10422 10422 10423 10423 10423 10423 10423 10423 10423 10423 10423
interactive-discover-2-4;0;98;12397;false;2730 3627 3659 3682 3682 3708 5767 8323 8537 8569 8586 8607 8631 8654 8660 8683 8699 8712 8805 8841 8896 8920 8939 8949 8975 9043 9043 9093 9098 9139 9162 9177 9183 9232 9256 9274 9296 9322 9342 9371 9371 9381 9391 9412 9419 9420 9424 9434 9437 9524 9531 9532 9537 9538 9550 9551 9553 9554 9554 9556 9557 9559 9560 9560 9560 9561 9561 9561 9561 9562 9562 9562 9562 9562 9562 9563 9563 9563 9563 9563 9564 9564 9564 9564 9564 9564 9565 9565 9565 9565 9565 9566 9566 9566 9566 9566 9566 9566
interactive-discover-3-0;0;71;2;false;2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
interactive-discover-3-1;0;67;2;false;1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
interactive-discover-3-2;0;55;1;false;1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
interactive-discover-3-3;0;203;5;false;1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
interactive-discover-3-4;0;142;4;false;3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
